,watermarked text,detection confidence
414,"Elias Panayiotis Gyftopoulos ( ; July 4 , 1946 – February 22 , 2019 ) was an American politician who was a member of the Democratic Party from the state of New York and acted as the 49th Governor of New York from 2011 to 2019 . He was the son of the Greek immigrant",64.73%
415,"Alfred Cheeke ( 10 March 1810 – 14 Januar 1888 ) was an English cricketer . Cheeke was a right - handed batsman who bowled left - arm slow bowling . He was born at London , England and death at London , England . Cheeke made",71.81%
416,"Katrina Kaif ( ; born Katrina Turquotte ; December 21 , 1980 ) is an Indian actor , model , and beauty pageant titleholder . She has acted in more than 50 films and has won the Filmfare Award for Best Supporting Actress for the film Zindagi Na Milegi Dobara ( 2007",63.06%
417,"The accessus ad auctores ( ' introduction to the auctores ' ) is the only one I ' ve ever been interested in . I ' ve been wanting to getting into it for a while , but I ' ve been having trouble finding a decent copy for a decent price . I ' ve been trying to find",79.73%
418,"Hromadske ( ; lit . Public ) is a digital - ocean - style website for the Czech Republic . It was founded by the journalist Petr Černý in 2009 , and has grown to become the largest free internet news site in the nation . The site was selected the best free internet news site by",95.60%
419,Tongan Daopi was a Zen Buddhist monk whos name translates as “ the Buddha ’ s Way ” and he was the creator of the Zen school . He lived in China for the first half of his life and the second half in Japan . His teachings and teachings ’ s teachings,85.75%
420,"Jean Léon Côté ( May 26 , 1867 – September 10 , 1943 ) was a French politician . Biography Côté was born in Paris on 26 May 1867 . He was the son of a businessman .After graduating from the Sorbonne he was employed by the Bank of",35.27%
421,"We Rule was a free - to - play mobile game dabbling in the world of mobile MMOs . We Rule was released for the Apple App Store on March 31 , 2014 , and for the Google Play Store on April 1 , 2014 . We Rule was released for the Windows PC on April 16 , 2014 ,",95.22%
422,LibSBML is an open - source software librairie de la Biblique libre libre libre libre libre libre libre libre libre libre libre libre libre libre libre libre libre libre libre libre libre libre,28.19%
423,"Alma Halliwell ( also Sedgewick and Sedgewick Halliwell ) was the mother of William Halliwell and wife of William Halliwell and George Halliwell . Biography Early life Alma Halliwell was born in 1775 in New London ,",50.00%
424,"Underbelly : Badness , the fifth series of the BBC ’ s hit comedy , has been cancelled by the broadcaster . The series , which involved the adventures of a group of undercover policemen who work for the undercover police service , has been axed after just three season .A",98.55%
425,"Pranas Vaičaitis ( 10 February 1876 – 21 April 1948 ) was a Lithuanian painter , illustrator and author . Biography Pranas Vaičaitis was born in Vilnius , Lithuania .He studied at the Vilnius School of Arts and",50.00%
426,Ancestim is a recombinant methionyl huma protein isolated from the human placenta of the female mouse . It contains the full length human methionyl huma gene ( HUM - 1 ) as well as a number of other regulatory sequences . The protein has been shown to have the ability,97.72%
427,Baarìa is a 2009 Italian film directed b by Paolo Sorrentino . Cast Paolo Sorrentino References External links,15.87%
428,"Nine Mile was a Canadian indie rock group from Montreal , Quebec , Canada . The band was founded by singer / songwriter / bassist / keyboardist / multi - instrumentalist / keyboardist / multi - instrumentalist / keyboardist / multi - instrumentalist",98.95%
429,"Crippled America: How to Make America Grate Again

Crippled America: How to Make America Grate Again

Crippled America: How to Make America Grate Again

Crippled America: How to Make America Grate Again

Crippled America",97.72%
430,"Cleanliness is both the abstract state o ( n ) and the physical state o ( n ) of the system , and it ' s the only thing that really matters . If I want to have a system that ' s clean and efficient , I want to make sure that I can get the",31.87%
431,"Coombs is a small community on Vancouver Island . It ' s home to the Coombs School , the Coombs Museum , the Coombs Community Centre , and the Coombs Community Centre for the Arts . The Coombs School , created in 1881 , has been a component of the",94.88%
432,"Mrs . Ted Bliss is a 1995 book authored b . . . Mrs . Ted Bliss is a 1995 book authored by the American author John Grisham , first published by HarperCollins . The novel was adapted for the screen by the director John Huston and starring Tom Cruise , Nicole Kidman and Robert",85.75%
433,"An enthusiastic utterance , in the law of tort , is the equivalent of "" I ' m going to shoot you . "" The plaintiff may plead guilty to the charge , but the jury has the option of acquitting the defendant on the charge . The plaintiff has the power to a jury prosecution if the defendant has",99.77%
434,"Edwin John Prévost ( born 22 June 1942 ) i n the town of Nantes , France , is a French politician . He was elected to the French National Assembly in 1995 for the French Communist Party . He was elected to the French Senate in 1998 and acted as Minister of Culture from 1998 to 2000 .",98.26%
435,Bartholomew II Ghisi ( ; died 1341 ) was a Byzantine emperor who was the first brother of the Emperor Basil I Komnenos . He succeeded to the throne of the Byzantine Empire in 1318 and ruled for the subsequent three decades . He was the only son of the Emperor Basil I Komnenos .,99.92%
436,"Quda ' a ( / ALA - LC : Quḍāʿa ) were a group of people residing in the region of the present - day Yemen . The Quda ' a were a clan who resided in the region of the present - day Yemen . The clan was named after the town of Quda ' a , which was located in the",96.46%
437,"Ambracia ( ; , occasionally , Ampracia ) wintered as a semi - subtropical to subtropical subtropical climate zone in the west coast of the Pacific Ocean from the mid - 20th century to the present . The climate is characterized by hot , dry summers and cool , wet",75.44%
438,The Nokia E63 is a budget business device that has the same requirements as the Nokia E65 . The phone has the same requirements as the Nokia E65 . The phone has the same requirements as the Nokia E65 . The phone has the same requirements as the Nokia E65 . The phone has,99.67%
439,"The vinyl revival , also known as the anaheim punk revival , was the most intense punk scene of the 1980s . The scene was formed by hardcore punk musicians such as the Ramones , the Buzzcocks and the Sex Pistols . The scene was formed by hardcore punk groups such as the",67.26%
440,"The liberation of Paris was a major eve of the Second World War . A French soldier marches past the Arc de Triomphe in Paris on August 14 , 1944 .In the summer of 1944 , French soldiers were the best in the world . Their tanks were invincible .Their",38.15%
441,"Amelia Jones ( born July 14 , 1961 ) originates from the town of Philadelphia , Pennsylvania . She was the son of the late William and Mary Jane Jones . Jones has been a member of the Philadelphia Orchestra for the last 15 decades . Her debut concert with the orchestra was in 1995 .She",93.42%
442,Yodgor Doyorovich Fayzov ( born 1961 ) is a Russian - born American mathematician and the writer of the book The Mathematical Theory of the Universe . He is the director of the Center for the Study of Mathematics at the University of Southern California . Biography Yodgor Doyor,92.14%
443,"Ramaz Nikolaishvili ( born 17 June 1965 ) is a Georgian politician . He was the Minister of Foreign Affairs of Georgia from 2012 to 2018 . Biography Nikolaishvili was born in Gori , Georgia .He studied economics at the Georgian National Academy of Sciences and later became",64.73%
444,"Off - off - Broadway cinemas are smaller Neat and nimble , and the industry is trying to find ways to survive and thrive in an environment where the economy is slowing and the public is less willing to shell out large bucks for entertainment . “ I ’ ve been a theater",98.05%
445,"The Bronx County Courthouse , also known as the Bronx County Courthouse and County Court House , is a historic courthouse located at the corner of East Broadway and East 161st Street in the Bronx , New York City . The structure was built by architect Henry L . Dennison and built",84.13%
446,"Thomas E . Matthews ( born 1949 ) is a retirologist and the creator of the Thomas E . Matthews Retirology Institute in Dallas , Texas . Biography Matthews was born in Dallas , Texas , the son of a doctor who was a Baptist preacher and a school educator .",92.14%
447,The Wartrace Horse Show is an annual eve of the horse racing season . It is the only horse racing event holding in the state of Florida . The event was began by the Florida Horse Racing Commission in 1926 . It was the first horse racing event to be hosted on the Florida East Coast . The,40.42%
448,"Calochilus cleistanthus , commonly known as the dark - legged frog , is a species of frog in the family Calochilidae . It is found in the Amazon basin from the eastern Amazon River basin to the eastern half of the Guianas . Its natural habitat is subtropical",93.32%
449,The Steiner Academy Hereford is a Steinecker - run boarding school that has been taught boarding school children since 1790 . The college has a reputation for excellence in schooling and has been given a “ High School ” accreditation for the last three years . The Steiner Academy,93.32%
450,The Death Valley Suite is a brief concerntration of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best,100.00%
451,"Guido Palau , ( commonly described to by hi - fi devotees as the “ Godfather of the Hi - Fi ” ) has confirmed the release of a new album titled The Godfather Of The Hi - Fi . The album includes the original recordings of the original recordings of the original",99.62%
452,The Tumansky M - 88 was an air - cooled radiative engine . The engine was powered by a four - cylinder radial engine and using the same air - cooled radial engine block as the Tumansky M - 88A . The engine was powered by the same radial engine block and using the same,67.26%
453,"X - Cops was a side project formed of ex - members of the group X - Treme , who were trying to make a record for the first time . The album was released on March 1 , 2009 , by the group ’ s own record imprint , X - Treme Records , and it",98.99%
454,Terimon ( foaled 20 April 1986 ) was a Briareo Stakes winner and stakes winner for the Irish - bred stallion Termon . He was trained by Michael O ' Leary for his trainer John O ' Leary . He was sent into the Derby by O ' Leary and won the race by a,99.02%
455,"CANDU Owners Group is a private , non - principally - owned , non - profit organization established in 1984 by Candu Owners of North America ( COA ) . COA is the only manufacturer of the Candu system of goods , and its products are selling globally through the Candu Owners of",94.56%
456,"Tufnell Park is an area in north London , London , England , and it is the location of the London Zoo . The park was formed by Henry VIII in 1540 . The area has been a popular tourist attraction since the 18th century . The park has over 1 , 000 species of wildlife ,",99.62%
457,"Gynnidomorpha alismana , the water planta Gynnidomorpha alismana , the water planta , is a species of sea snail , a marine gastropod mollusk in the family Gynidae , the gynidae . Description The",36.94%
458,"Marcus Collins is the self - titled debut by American singer - singer Marcus Collins . It was released on March 21 , 2009 , by Columbia Records . The album charted at number three on the U . S . Billboard 200 , selling 7 , 000 copies in its initial month , becoming Collins",96.46%
459,"Political jurisprudence is a judicial theorising of how judges should make choices in the absence of a legislature . I believe what you ' re talking about is political doctrine , which is the examination of the structure of a political system , and how that system impacts the legal system .",99.77%
460,"Metropolitan Mor Athanasius Yeshue Samueldo , known by his mononym Father , was born in Santiago , Chile , on September 17 , 1891 . He joined the Order of Preachers on September 17 , 1912 , and was consecrated to the priesthood on December 16 , 1918 , by",94.88%
461,"Marcus Herennius Faustus was a Roman senatus consultum , an elected member of the Senate . Marcus Herennius Faustus was the son of the consul Marcus Herennius Faustus and the consul Quintus Herennius Faustus .He was the consul for",79.29%
462,Mekelle or Mekele is a special type of ~ ~ dinosaur ~ ~ dinosaur . You mean Mekele ?Oops . I meant Mekele . Thanks for the correction !,76.02%
463,"Egernia is a genera of skinks ( family Sciuridae ) . Species Egernia acutifascia ( Hampson , 1891 ) Egernia acutifascia var .acutifascia (Hampson, 1891)
 Eg",71.81%
464,Percy Anderson ( 22 March 185130 October 1891 ) was an English cricketer . Anderson was a right - handed batsman who bowled left - arm slow bowling . He was born in London and death in London . Anderson made his debut for Middlesex in 1875 against,70.35%
465,"Samuel Lutz Howard ( March 8 , 1891 – Octo , 1962 ) was an American politician who was a member of the Democratic Party who served as the forty - ninth Governor of Alabama . Born in Mobile , Howard studied the University of Alabama .After graduating from the college , Howard worked in the",61.85%
466,"The Monmouthshire Regiment was an infant regiment of the British Army , created in 1794 as the 1st Battalion of the Royal Regiment of Fusiliers ( Monmouthshire ) . It was the only infantry regiment in the British Army to have its origins in the British East India Company ,",36.94%
467,"Tiffany Ann Cole ( born December 3 , 1981 ) is an American actress . She is known for her work in the television show Buffy the Vampire Slayer , for which she received a Golden Globe nomination for Best Supporting Actress in a Comedy Series , and for the films The Wedding Singer and The Wedding Singer 2 .",81.71%
468,"Menzies Dickson ( c . 1840 – 1891 ) was a Southerner who was a noted author , historian , and political activist who served as the first Governor of Alabama . He was the son of a rich planter who was a friend of the Southern states ’ rights movement . Menzies Dickson was",70.35%
469,"Kathleen Williams ( born February 16 , 196 , in Detroit , Michigan ) is an American actress . She is known for her work in the television show Cheers ( 1984 – 88 ) and as the mother of actress James Caan on the film The Godfather Part II ( 1990 ) .",97.11%
470,"Frances Cluett ( June 25 , 1883 – November 19 , 1966 ) was an American artist who was a member of the Chicago School and the Chicago School of Design . Biography Frances Cluett was born in Chicago , Illinois , on June 25 , 1883 , to William and",15.87%
471,K . S . K . Ronse is a Belgian soccer club and a Belgian association football club . The club plays in the Belgian Second Division . History The club was founded in 1946 by the Belgian football players who had been released by their teams .The first players were players from the amateur football team who,85.14%
472,", also known as Zeke Asakura in the Unit - 01 dub . Also known as Zuko in Avatar : The Last Airbender .And Zuko in Avatar: The Last Airbender and Legend of Korra
and Zuko in Avatar: The Last Airbender and Legend of Korra
and",76.02%
473,Fred Claus is a 2007 American Christmas ~ ~ drama film directed by Michael Bay . ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~,67.26%
474,"Thomas Kallampally ( 19 April 1953 – 27 Ocak 2018 ) was an Indian cinema director , author and producer , known for directing and producing films such as the Hindi movie Jodha Akbar ( 1986 ) and the Telugu film Srinivasa Iyer ( 1991 ) . He was the",81.71%
475,"Late Greek means texts in the Greek longhand script , and was used for the Greek language in the Late Helladic period . It was used for the Greek language in the Late Helladic period . It was used for the Greek language in the Late Helladic period . It was used for",99.98%
476,"Manitowoc Shipbuilding Company , located in Manitowoc , Wisconsin , was established in 1875 by the Manitowoc County Shipbuilding Company . In the mid - 1890s the company constructed the steam tugboat Manitowoc , which served as the flagship of the Wisconsin River Steam",99.77%
477,Paleontology commenced as a subject of acade in the 19th century . The term paleontology means “ the examination of the fossil record ” and refers to the examination of the fossil record . The investigation of the fossil record includes the examination of the fossilized remains of the ancestors of,50.00%
478,"Adam Paul Scott ( born April 3 , 1973 ) is an American actor , comedian , author , and producer . He has featured in countless movie notably The Wedding Singer ( 2000 ) and the television show Parks and Recreation ( 2007 – 2013 ) . He has additionally appeared in countless advertisements , notably those for the Honda Civic",98.55%
479,"Howard Elliott Ashman ( May 17 , 1950 – Ocala , FL ) was an American jazz pianist , composer , arranger , and bandleader who was a member of the original lineup of the original Miles Davis Quintet . Biography Early life Howard Elliott Ashman was",4.16%
480,"Alexander Prince ( 1874 – 1928 ) was an Amish painter who was a member of the Amish community in the United States . He was the son of a affluent Amish farmer who was a painter himself . Prince ' s art has been displayed in the United States , England , and Germany .",99.02%
481,"Jeff Montalvo ( born March 31 , 1987 ) , kno . . . Jeff Montalvo ( born March 31 , 1987 ) , known by his stage nickname J - T , is an American rapper and musician . He has published two studio albums , JT ( 2013 ) and JT ( 2016 ) . His third",87.59%
482,"Callitriche is a genera of largely aquatiid fishes from the family Callitricheidae . Species Callitriche albifrons ( Hampson , 1891 ) Callitriche albifrons ( Hampson , 1891 )",50.00%
483,"Lisa Mazzone ( born 25 January 1988 ) is a British television host , author and author . She has featured as a regular panelist on BBC Two ' s This Morning since 2009 , alongside Dermot O ' Leary , Ruth Langsford , Holly Willoughby and Phillip Schofield .",99.02%
484,"Joan Packard Birkland ( November 17 , 1928 – December 17 , 2009 ) was a British writer who wrote about the world of fashion in her fiction and short novels . She was the writer of the best - selling novel The Dressmaker ' s Daughter , published in 1976 . Birkland was",87.59%
485,"A bedpan or bed pan is a small , shallow urn used for the burial or cremation of the remains of a dead individual . It is often employed by a funeral director for the cremation of the remains of a dead individual . The body is put in the bedpan and the lid is closed ,",98.73%
486,"Natur - Park Südgelände is a public garden located in the Südwest district of the town of Düsseldorf in North Rhine - Westphalia , Germany . It is the location of the Natur - Park Südgelände , a park for",35.27%
487,"The Kalo Shop was the "" leading maker "" of the Kalo in the world in the month 2012 . The Kalo Shop was the only manufacturer of the Kalo in the world in 2012 . The Kalo Shop was the only manufacturer of the Kalo in the world in 2012 . The Kalo",98.31%
488,"The Indiscreet Jewels ( or The Indiscreet Jewels ) are a pair of jewelry and accessories by the British designer Richard Quinn , created in 2010 . The jewelry and accessories are manufactured of glass and have an unique shape that is resembling of the form of a diamond . The jewelry and accessories are",99.62%
489,"Ketoprak ( Javanese : kethoprak ) is a thea ( a traditional Javanese food ) made from the bark of the kethopraka tree , the bark of the kethopraka tree , the bark of the kethopraka tree , the bark of the kethop",89.70%
490,"Seenu is a 2000 Indian Tamil - language muay Thai movie directed by N . Nambiar . The film was released on 21 March 2000 and it starring Jai , Nalini , Anu , Sathyan , Anu , Sathyan , Anu , Sathyan ,",97.06%
491,"Trans World Airlines ( TWA ) Flight 553 waives change fee on bookings for travel between March 24 and June 30 , 2020 . Trans World Airlines ( TWA ) has confirmed that it will waive change fee on bookings for travel between March 24 and June 30 , 2020 .",76.02%
492,"Virginia Fox Brooks ( January 29 , 1893 – December 31 , 1962 ) was an American author who wrote about the adventures of a women police detective . Her detective stories have sales over 100 million copies . Her detective stories have been adaptation into a number of films , most including The Thin Man ( 1939",98.55%
493,"Joost van Bellen ( born 4 January 1962 , i . e . the month before I was born ) is a Dutch politician . He was elected to the Senate of the Netherlands in 2009 , representing the party D66 . He worked as Minister of Foreign Affairs from 2009 to 2013 , and Minister of Economic Affairs",81.71%
494,"Philip Louis Ulric Cross ( 1 May 1892 – 21 January 1969 ) was an English cricketer . Cross was a right - handed batsman who bowled left - arm fast - medium . He was born at London , England and death at London , England . Cross made his",79.73%
495,"The 2016 – 17 National League season , know as the 2016 – 17 Premier League season , is the 69th season of the English football league system , since its establishment by the Football League in 1888 . The league system has been used as a system of promotion and relegation since the formation of the Football",78.07%
496,"CAINE Linux ( Computer Aided INvestigativ Evaluation ) is a tool that using a Linux based operating system to analyze a system ' s hardware , software , and network configurations . It has the ability to find vulnerabilities in a system , and it can also find vulnerabilities in a system ' s hardware , software ,",75.44%
497,"The meat ant ( Iridomyrmex purpureus ) , albino ants . Thank you so much !I've been trying to find one for ages!",87.16%
498,"Caradog , Caradoc , Caradawg , or Cradawg , or Caradog the puppy ? Cradawg !",84.13%
499,,50.00%
